chrom	start	end	gene_name	strand	tss	mean_beta	n_cpg
chr1	14079	15079		+	15079	0.9072704158287681	15
chr1	36628	37628		-	37628	0.9186149708876983	55
chr1	116120	117120		-	117120	0.8049242424242425	3
chr1	204171	205171		-	205171	0.5081649944364475	60
chr1	183869	184869		-	184869	0.8937590187590189	14
chr1	190681	191681		+	191681	0.8668236991766404	12
chr1	204294	205294		+	205294	0.33097643999360243	75
chr1	219503	220503		+	220503	0.9009846173616917	19
chr1	245377	246377		+	246377	0.46832282913165263	12
chr1	255494	256494		-	256494	0.05097730552276007	11
chr1	255562	256562		+	256562	0.05097730552276007	11
chr1	288155	289155		+	289155	0.8999255952380951	8
chr1	305720	306720		-	306720	0.7727272727272727	4
chr1	301265	302265		+	302265	0.6204880784849826	25
chr1	333799	334799		+	334799	0.95	8
chr1	348336	349336		-	349336	0.7830791003867924	52
chr1	354237	355237		-	355237	0.011111111111111112	18
chr1	352565	353565		+	353565	0.34377346971686595	53
chr1	387041	388041		-	388041	0.09619354343992026	99
chr1	388373	389373		+	389373	0.6429209679209679	77
chr1	394192	395192		+	395192	0.8506658595641645	59
chr1	410933	411933		-	411933	0.8076039108911081	51
chr1	429252	430252		-	430252	0.007575757575757576	33
chr1	437422	438422		-	438422	0.8153383252127865	75
chr1	442627	443627		+	443627	0.5265868753416707	60
chr1	449246	450246		+	450246	0.212962962962963	6
chr1	488805	489805		+	489805	0.3123059409630617	28
chr1	498431	499431		-	499431	0.3523809523809524	14
chr1	503400	504400		-	504400	0.7861552976937591	39
chr1	543704	544704		-	544704	0.061656621713012685	63
chr1	556599	557599		-	557599	0.9087633338178002	81
chr1	556298	557298		+	557298	0.8972517059231054	87
chr1	564632	565632		+	565632	0.8598301698301698	40
chr1	590473	591473		+	591473	0.8680728113826705	71
chr1	594700	595700		+	595700	0.8382275132275132	21
chr1	595459	596459		+	596459	0.8321108550947259	62
chr1	596601	597601		+	597601	0.8251380262249828	46
chr1	607152	608152		-	608152	0.905899100899101	90
chr1	601476	602476		+	602476	0.8121137514580136	61
chr1	634049	635049		-	635049	0.8359392285131448	100
chr1	641610	642610		-	642610	0.821973522701678	103
chr1	659458	660458		-	660458	0.0043859649122807	57
